Job_Title,Average_Salary,Years_Experience,Education_Level,AI_Exposure_Index,Tech_Growth_Factor,Automation_Probability_2030,Risk_Category,Skill_1,Skill_2,Skill_3,Skill_4,Skill_5,Skill_6,Skill_7,Skill_8,Skill_9,Skill_10
Security Guard,45795,28,Master's,0.18,1.28,0.85,High,0.45,0.1,0.46,0.33,0.14,0.65,0.06,0.72,0.94,0.0
Research Scientist,133355,20,PhD,0.62,1.11,0.05,Low,0.02,0.52,0.4,0.05,0.97,0.23,0.09,0.62,0.38,0.98
Construction Worker,146216,2,High School,0.86,1.18,0.81,High,0.01,0.94,0.56,0.39,0.02,0.23,0.24,0.68,0.61,0.83
Software Engineer,136530,13,PhD,0.39,0.68,0.6,Medium,0.43,0.21,0.57,0.03,0.84,0.45,0.4,0.93,0.73,0.33
Financial Analyst,70397,22,High School,0.52,1.46,0.64,Medium,0.75,0.54,0.59,0.97,0.61,0.28,0.3,0.17,0.02,0.42
AI Engineer,92592,11,Master's,0.29,0.51,0.1,Low,0.71,0.79,0.61,0.93,0.65,0.91,0.85,0.45,0.1,0.37
Mechanic,107373,23,PhD,0.67,1.09,0.41,Medium,0.56,0.38,0.97,0.85,0.72,0.24,0.26,0.04,0.71,0.11
Teacher,53419,12,High School,0.2,1.4,0.17,Low,0.56,0.7,0.14,0.6,0.54,0.2,0.94,0.6,0.69,0.88
HR Specialist,139225,12,Master's,0.3,0.61,0.48,Medium,0.22,0.42,0.88,0.32,0.12,0.36,0.91,0.27,0.65,0.0
Customer Support,85016,2,High School,0.01,1.01,0.8,High,0.22,0.12,0.34,0.94,0.32,0.52,0.7,0.36,0.97,0.96
UX Researcher,82733,6,High School,0.5,0.8,0.41,Medium,0.04,0.61,0.5,0.05,0.28,0.91,0.24,0.14,0.49,0.99
Financial Analyst,117455,22,High School,0.67,1.26,0.4,Medium,0.73,0.37,0.63,0.63,0.54,0.09,0.84,0.32,0.19,0.04
Lawyer,79811,27,High School,0.68,0.52,0.5,Medium,0.23,0.65,0.17,0.69,0.39,0.94,0.14,0.34,0.11,0.92
Data Scientist,115981,9,High School,0.26,1.16,0.63,Medium,0.56,0.53,0.24,0.09,0.9,0.9,0.63,0.34,0.35,0.73
Research Scientist,96690,19,Master's,0.89,1.28,0.21,Low,0.08,0.16,0.9,0.61,0.01,0.1,0.66,0.01,0.16,0.55
Graphic Designer,32869,2,High School,0.65,0.72,0.58,Medium,0.24,0.33,0.75,0.65,0.85,0.66,0.57,0.09,0.37,0.27
Teacher,36893,29,Bachelor's,0.97,0.89,0.27,Low,0.63,0.79,0.5,0.58,0.49,0.2,0.72,0.28,0.02,0.65
Teacher,103744,11,Bachelor's,0.94,1.45,0.28,Low,0.37,0.02,0.93,0.43,0.97,0.96,0.85,0.29,0.39,0.85
Retail Worker,148015,2,PhD,0.17,1.06,0.93,High,0.7,0.57,0.1,0.62,0.99,0.14,0.52,0.88,0.74,0.7
Doctor,108069,15,Master's,0.55,0.8,0.15,Low,0.26,0.61,0.08,0.01,0.63,0.19,0.07,0.4,0.05,0.89
AI Engineer,43403,1,High School,0.09,1.08,0.06,Low,0.47,0.54,0.29,0.59,0.03,0.04,0.82,0.36,0.13,0.52
HR Specialist,49508,27,Bachelor's,0.22,1.12,0.33,Medium,0.05,0.53,0.54,0.64,0.73,0.98,0.52,0.32,0.8,0.27
Teacher,58251,25,PhD,0.08,0.53,0.29,Low,0.84,0.7,0.41,0.17,0.16,0.25,0.55,0.71,0.66,0.28
Financial Analyst,33343,28,High School,0.74,1.05,0.54,Medium,0.42,0.25,0.36,0.76,0.01,0.12,0.05,0.04,0.86,0.7
AI Engineer,125435,15,PhD,0.1,0.99,0.17,Low,0.17,0.43,0.4,0.62,0.64,0.05,0.37,0.63,0.5,0.86
Software Engineer,39540,12,High School,0.16,0.57,0.56,Medium,0.03,0.59,0.94,0.58,0.39,0.64,0.46,0.55,0.94,0.39
Mechanic,68304,7,Master's,0.91,0.7,0.33,Medium,0.1,0.02,0.09,0.68,0.07,0.32,0.84,0.02,0.81,0.28
Customer Support,33267,25,PhD,0.7,1.13,0.92,High,0.74,0.8,0.28,0.18,0.75,0.81,0.99,0.41,0.37,0.78
HR Specialist,89031,22,Master's,0.93,1.36,0.47,Medium,0.75,0.75,0.1,0.9,0.51,0.83,0.32,0.9,0.39,0.01
HR Specialist,102936,18,Master's,0.09,0.82,0.68,Medium,0.95,0.57,0.63,0.45,0.29,0.33,0.67,0.75,0.79,0.79
Teacher,114076,20,Master's,0.49,0.56,0.19,Low,0.44,0.89,0.35,0.12,0.14,0.76,0.62,0.1,0.08,0.7
Retail Worker,69081,8,High School,0.82,1.21,0.72,High,0.08,0.99,0.37,0.37,0.81,0.95,0.99,0.75,0.38,0.08
Retail Worker,102124,11,Bachelor's,0.56,0.92,0.93,High,0.11,0.49,0.01,0.47,0.06,0.12,0.12,0.65,0.75,0.58
Truck Driver,91629,24,High School,0.37,0.79,0.92,High,0.22,0.96,0.01,0.97,0.04,0.89,0.53,0.99,0.07,0.55
Teacher,43843,24,PhD,0.52,1.13,0.22,Low,0.45,0.63,0.58,0.9,0.05,0.28,0.95,0.89,0.46,0.62
Mechanic,59703,25,Bachelor's,0.19,0.96,0.44,Medium,0.58,0.08,0.97,0.99,0.7,0.54,0.31,0.81,0.68,0.16
Mechanic,64349,2,Bachelor's,0.82,1.45,0.59,Medium,0.61,0.42,0.93,0.87,0.05,0.03,0.38,0.81,0.99,0.15
Customer Support,92292,25,Bachelor's,0.38,1.47,0.91,High,0.84,0.47,0.41,0.27,0.06,0.86,0.81,1.0,1.0,0.56
Chef,53524,20,PhD,0.94,1.35,0.4,Medium,0.45,0.13,0.95,0.61,0.23,0.67,0.62,0.36,0.11,0.67
Retail Worker,88017,21,Bachelor's,0.77,1.02,0.91,High,0.55,0.56,0.88,0.4,0.13,0.03,0.76,0.62,0.7,0.21
Graphic Designer,111317,27,PhD,0.98,1.11,0.55,Medium,0.55,0.09,0.73,0.55,0.45,0.91,0.3,0.52,0.7,0.8
Doctor,144825,23,Bachelor's,0.84,1.27,0.07,Low,0.05,0.62,0.35,0.21,0.58,0.34,0.54,0.46,0.58,0.4
Research Scientist,52415,7,PhD,0.18,1.2,0.15,Low,0.87,0.52,0.97,0.6,0.22,0.82,0.35,0.35,0.03,0.55
Construction Worker,134680,11,PhD,0.21,0.86,0.83,High,0.69,0.04,0.8,0.63,0.08,0.87,0.92,0.06,0.28,0.81
Customer Support,109714,28,PhD,0.99,1.04,0.93,High,0.24,0.76,0.53,0.72,0.06,0.15,0.13,0.69,0.84,0.75
Data Scientist,97067,12,High School,0.87,0.85,0.46,Medium,0.1,0.74,0.18,0.56,0.84,0.09,0.54,0.23,0.34,0.47
Construction Worker,37561,2,Master's,0.65,0.98,0.85,High,0.74,0.56,0.59,0.56,0.38,0.34,0.9,0.61,0.24,0.5
Teacher,142581,4,High School,0.93,0.51,0.11,Low,0.37,0.49,0.85,0.09,0.81,0.06,0.84,0.05,0.02,0.7
UX Researcher,39111,5,Bachelor's,0.4,1.47,0.65,Medium,0.82,0.26,0.17,0.67,0.93,0.56,0.57,0.28,0.77,0.19
Retail Worker,72101,3,High School,0.43,1.01,0.76,High,0.11,0.61,0.29,0.58,0.15,0.48,0.53,0.05,0.34,0.13
Security Guard,117958,9,High School,0.99,0.82,0.9,High,0.25,0.68,0.76,0.6,0.47,0.41,0.35,0.93,0.83,0.97
AI Engineer,97444,23,High School,0.99,0.71,0.14,Low,0.93,0.72,0.05,0.78,0.83,0.75,0.8,0.83,0.19,0.24
AI Engineer,30077,25,High School,0.91,0.82,0.2,Low,0.68,0.45,0.71,0.9,0.62,0.54,0.44,0.58,0.36,0.39
UX Researcher,148721,13,High School,0.07,0.73,0.52,Medium,0.43,0.33,0.73,0.69,0.17,0.88,0.5,0.74,0.57,1.0
Customer Support,127720,0,High School,0.71,1.28,0.74,High,0.2,0.71,0.49,0.75,0.1,0.54,0.38,0.46,0.6,0.5
Data Scientist,50103,4,Master's,0.49,0.91,0.61,Medium,0.01,0.6,0.57,0.72,0.6,0.83,0.96,0.34,0.23,0.42
Graphic Designer,145033,13,High School,0.61,1.41,0.36,Medium,0.1,0.26,0.73,0.59,0.1,0.92,0.79,0.02,0.65,0.77
Doctor,95310,25,Bachelor's,0.07,0.58,0.08,Low,0.84,0.91,0.12,0.24,0.17,0.19,0.84,0.33,0.31,0.23
Mechanic,93374,20,Master's,0.38,1.24,0.38,Medium,0.79,0.6,0.11,0.41,0.86,0.92,0.47,0.48,0.92,0.59
Research Scientist,71914,11,Master's,0.91,0.75,0.19,Low,0.17,0.03,0.31,0.78,0.28,0.22,0.21,0.52,0.98,0.46
Financial Analyst,132547,21,PhD,0.86,1.04,0.37,Medium,0.3,0.31,0.4,0.43,0.8,0.35,0.47,0.62,0.38,0.84
UX Researcher,119106,17,Master's,0.29,1.21,0.51,Medium,0.53,0.48,0.5,0.77,0.1,0.33,0.08,0.75,0.27,0.9
UX Researcher,82603,0,High School,0.03,0.66,0.59,Medium,0.66,0.03,0.22,0.23,0.67,0.02,0.1,0.8,0.18,0.65
Security Guard,131358,7,Bachelor's,0.1,0.74,0.88,High,0.86,0.83,0.4,0.67,0.2,0.29,0.9,0.01,0.09,0.21
Security Guard,83394,15,High School,0.18,1.08,0.81,High,0.89,0.82,0.34,0.26,0.38,0.59,0.27,0.62,0.41,0.55
Nurse,92516,11,Bachelor's,0.22,1.47,0.24,Low,0.11,0.57,0.99,0.47,0.18,0.48,0.51,0.74,0.7,0.4
Graphic Designer,53752,21,Master's,0.65,0.92,0.35,Medium,0.9,0.69,0.68,0.82,0.53,0.82,0.5,0.07,0.41,0.5
AI Engineer,108411,22,PhD,0.11,0.64,0.12,Low,0.27,0.73,0.25,0.63,0.49,0.57,0.84,0.4,0.77,0.42
Chef,116145,27,Master's,0.96,0.68,0.34,Medium,0.77,0.07,0.84,0.44,0.92,0.72,0.61,0.95,0.4,0.95
Data Scientist,124613,4,High School,0.48,0.77,0.52,Medium,0.16,0.84,0.85,0.96,0.15,0.62,0.47,0.34,0.35,0.41
Marketing Manager,30060,10,PhD,0.6,0.96,0.33,Medium,0.08,0.0,0.97,0.01,0.1,0.31,0.81,0.96,0.79,0.69
Marketing Manager,87134,11,High School,0.54,1.37,0.59,Medium,0.81,0.66,0.69,0.85,0.25,0.49,0.22,0.99,0.94,0.04
Construction Worker,67641,15,PhD,0.93,0.68,0.84,High,0.92,0.03,0.7,0.3,0.92,0.97,0.94,0.47,0.86,0.84
Research Scientist,67265,26,Master's,0.83,0.54,0.2,Low,0.23,0.12,0.08,0.7,0.34,0.72,0.07,0.32,0.54,0.79
Customer Support,145608,12,Master's,0.63,1.39,0.85,High,0.23,0.02,0.87,0.02,0.87,0.53,0.94,0.8,1.0,0.35
Mechanic,59629,16,High School,0.4,0.98,0.55,Medium,0.87,0.98,0.77,0.42,0.42,0.74,0.24,0.11,0.35,0.29
Data Scientist,85619,17,Bachelor's,0.23,0.54,0.31,Medium,0.99,0.43,0.38,0.68,0.22,0.95,0.79,0.09,0.42,0.88
Software Engineer,136506,29,PhD,0.61,0.67,0.7,Medium,0.23,0.94,0.65,0.61,0.51,0.23,0.18,0.22,0.19,0.78
Research Scientist,148533,4,High School,0.06,1.47,0.27,Low,0.93,0.99,0.17,0.4,0.76,0.7,0.15,0.82,0.22,0.22
Financial Analyst,105758,24,Bachelor's,0.59,1.08,0.34,Medium,0.88,0.27,0.13,0.89,0.96,0.86,0.81,0.66,0.55,0.09
Marketing Manager,55559,27,Master's,0.37,0.76,0.59,Medium,0.5,0.08,0.22,0.68,0.08,0.85,0.5,0.48,0.59,0.82
Financial Analyst,31591,7,Master's,0.68,1.07,0.41,Medium,0.88,0.8,0.66,0.85,0.87,0.71,0.84,0.7,0.68,0.62
Financial Analyst,32469,27,Master's,0.16,1.38,0.65,Medium,0.03,0.83,0.13,0.34,0.74,0.16,0.82,0.83,0.51,0.01
Marketing Manager,117263,12,Bachelor's,0.62,1.48,0.55,Medium,0.26,0.63,0.54,0.78,0.11,0.76,0.54,0.96,0.34,0.63
Retail Worker,121357,4,Master's,0.1,1.44,0.87,High,0.07,0.3,0.71,0.07,0.58,0.35,0.62,0.05,0.87,0.97
Nurse,54860,11,High School,0.75,0.63,0.24,Low,0.02,0.02,0.32,0.49,0.77,0.68,0.45,0.27,1.0,0.43
