price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
3430000,2610,3,1,2,yes,no,yes,no,no,0,yes,unfurnished
5950000,7231,3,1,2,yes,yes,yes,no,yes,0,yes,semi-furnished
4200000,5040,3,1,2,yes,no,yes,no,yes,0,no,unfurnished
4690000,6000,2,1,1,yes,no,yes,no,yes,1,no,furnished
4060000,4340,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3430000,3850,3,1,1,yes,no,no,no,no,0,no,unfurnished
3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
4970000,7686,3,1,1,yes,yes,yes,yes,no,0,no,semi-furnished
3360000,3750,3,1,1,yes,no,no,no,no,0,no,unfurnished
4025000,5400,3,1,1,yes,no,no,no,no,3,no,semi-furnished
6125000,6420,3,1,3,yes,no,yes,no,no,0,yes,unfurnished
5600000,4700,4,1,2,yes,yes,yes,no,yes,1,no,furnished
6230000,6600,3,2,1,yes,no,yes,no,yes,0,yes,unfurnished
2870000,3040,2,1,1,no,no,no,no,no,0,no,unfurnished
2940000,5850,3,1,2,yes,no,yes,no,no,1,no,unfurnished
3010000,3630,4,1,2,yes,no,no,no,no,3,no,semi-furnished
2975000,4352,4,1,2,no,no,no,no,no,1,no,unfurnished
4200000,2610,4,3,2,no,no,no,no,no,0,no,semi-furnished
3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
4305000,10360,2,1,1,yes,no,no,no,no,1,yes,semi-furnished
5110000,3000,3,1,2,yes,no,yes,no,no,0,no,unfurnished
7420000,7440,3,2,4,yes,no,no,no,no,1,yes,unfurnished
3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
4480000,4040,3,1,2,yes,no,no,no,no,1,no,semi-furnished
6580000,6000,3,2,4,yes,no,no,no,yes,0,no,semi-furnished
4193000,8250,3,1,1,yes,no,yes,no,no,3,no,semi-furnished
4235000,6650,3,1,2,yes,yes,no,no,no,0,no,semi-furnished
4550000,3760,3,1,1,yes,no,no,no,no,2,no,semi-furnished
4200000,7000,3,1,1,yes,no,no,no,no,3,no,furnished
5040000,10700,3,1,2,yes,yes,yes,no,no,0,no,semi-furnished
6300000,7200,3,2,1,yes,no,yes,no,yes,3,no,semi-furnished
5565000,5400,5,1,2,yes,yes,yes,no,yes,0,yes,furnished
5740000,5800,3,2,4,yes,no,no,no,yes,0,no,unfurnished
3150000,3500,2,1,1,no,no,yes,no,no,0,no,semi-furnished
7070000,6240,4,2,2,yes,no,no,no,yes,1,no,furnished
5950000,7320,4,2,2,yes,no,no,no,no,0,no,furnished
4200000,5850,2,1,1,yes,yes,yes,no,no,2,no,semi-furnished
8400000,8875,3,1,1,yes,no,no,no,no,1,no,semi-furnished
4480000,5885,2,1,1,yes,no,no,no,yes,1,no,unfurnished
5530000,6100,3,2,1,yes,no,yes,no,no,2,yes,furnished
4165000,4046,3,1,2,yes,no,yes,no,no,1,no,semi-furnished
4200000,2747,4,2,2,no,no,no,no,no,0,no,semi-furnished
6195000,5500,3,2,4,yes,yes,no,no,yes,1,no,semi-furnished
2604000,2910,2,1,1,no,no,no,no,no,0,no,unfurnished
4270000,4360,4,1,2,yes,no,no,no,no,0,no,furnished
3045000,3800,2,1,1,yes,no,no,no,no,0,no,unfurnished
4200000,5800,3,1,1,yes,no,no,yes,no,2,no,semi-furnished
2100000,2400,3,1,2,yes,no,no,no,no,0,no,unfurnished
4375000,3900,3,1,2,yes,no,no,no,no,0,no,unfurnished
3290000,3792,4,1,2,yes,no,no,no,no,0,no,semi-furnished
4550000,5320,3,1,2,yes,yes,yes,no,no,0,yes,semi-furnished
6650000,4040,3,1,2,yes,no,yes,yes,no,1,no,furnished
5950000,6540,3,1,1,yes,yes,yes,no,no,2,yes,furnished
5950000,6525,3,2,4,yes,no,no,no,no,1,no,furnished
5250000,5500,3,2,1,yes,no,yes,no,no,0,no,semi-furnished
5740000,5000,3,1,3,yes,no,no,no,yes,0,no,semi-furnished
3115000,3500,2,1,1,yes,no,no,no,no,0,no,unfurnished
6090000,6615,4,2,2,yes,yes,no,yes,no,1,no,semi-furnished
4200000,4000,4,2,2,no,no,no,no,no,0,no,semi-furnished
5250000,8520,3,1,1,yes,no,no,no,yes,2,no,furnished
4305000,4400,2,1,1,yes,no,no,no,no,1,no,semi-furnished
3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
4270000,6360,2,1,2,yes,no,no,no,no,0,no,unfurnished
3395000,3640,2,1,1,yes,no,no,no,no,0,no,furnished
