Price,Close,High,Low,Open,Volume
Ticker,SAN.MC,SAN.MC,SAN.MC,SAN.MC,SAN.MC
Date,,,,,
2000-01-03,2.7052178382873535,2.7432522804572264,2.674314559348165,2.733743800881943,8797337
2000-01-04,2.641033887863159,2.6862000113497695,2.6172622990669088,2.671937162845754,8811013
2000-01-05,2.576850175857544,2.6243933466259235,2.555455644238054,2.591113022314338,9333517
2000-01-06,2.576850175857544,2.576850175857544,2.576850175857544,2.576850175857544,0
2000-01-07,2.6909539699554443,2.6980853931168096,2.593490313635798,2.5958673673781543,9603132
2000-01-10,2.667182683944702,2.71472585959862,2.643410834183417,2.71472585959862,6747710
2000-01-11,2.576850175857544,2.667182409864904,2.5316835349852655,2.662428040401206,15293569
2000-01-12,2.5530786514282227,2.5530786514282227,2.5102895827776868,2.548324019428905,12052290
2000-01-13,2.531684637069702,2.56971960933654,2.4984042982706316,2.567342554537069,11043549
2000-01-14,2.5982444286346436,2.6172619063656786,2.5245520953283305,2.543569573059365,15745712
2000-01-17,2.5293071269989014,2.643411237457615,2.507912589916995,2.6386571287144056,31619384
2000-01-18,2.400939702987671,2.5197978992463583,2.386676593708157,2.5197978992463583,20093136
2000-01-19,2.400939702987671,2.4033167569004323,2.3462648436510074,2.379545170035558,20666919
2000-01-20,2.450860023498535,2.4912717707679897,2.4152026456609517,2.4247111225903955,11769910
2000-01-21,2.374791145324707,2.4888952503368063,2.360528295907166,2.4675007142761407,18255137
2000-01-24,2.400939702987671,2.4484831386517354,2.3771681161227964,2.400939702987671,9894501
2000-01-25,2.400939702987671,2.405694072747509,2.362905006843283,2.3771681161227964,15844637
2000-01-26,2.4627466201782227,2.4698780456872336,2.4009403212532345,2.43184360168292,22642896
2000-01-27,2.4698774814605713,2.4912720150345518,2.4365971541086737,2.4888949610526976,50176740
2000-01-28,2.393808603286743,2.4817635389772277,2.384299862480179,2.4817635389772277,13102872
2000-01-31,2.4069552421569824,2.4428084552859617,2.378272618979223,2.4141258321082026,49721466
2000-02-01,2.4356369972229004,2.7009516279560373,2.3973934254924028,2.7009516279560373,11642759
2000-02-02,2.4356369972229004,2.459539130789668,2.402173904880313,2.4571490227821045,10673286
2000-02-03,2.469099760055542,2.495391998121082,2.41412464949037,2.4428072586172536,11396777
2000-02-04,2.490612745285034,2.5192953654968213,2.464320233685542,2.4977833344947684,13899128
2000-02-07,2.567099094390869,2.5670990943908696,2.5025630218410644,2.519294566942188,12468731
2000-02-08,2.610123872756958,2.626855422537562,2.5384169298425516,2.5718802927766,12234462
2000-02-09,2.5623185634613037,2.629245012763498,2.524075254392604,2.629245012763498,10918965
2000-02-10,2.509734869003296,2.5623196385660023,2.476271761998056,2.5408078669536898,9146146
2000-02-11,2.3734917640686035,2.5121243770313466,2.354369842713166,2.5097342685483346,17391741
2000-02-14,2.488222360610962,2.5862218172994393,2.3782723609219536,2.466710329718612,26742175
2000-02-15,2.528856039047241,2.6077338364615095,2.497783310521391,2.5216854499063293,21321476
2000-02-16,2.6555376052856445,2.662708193049581,2.5479774719626165,2.588611417161448,33672600
2000-02-17,2.6531474590301514,2.6961712483683242,2.6316354326746683,2.6364159122395305,16808772
2000-02-18,2.5862221717834473,2.6650994536182524,2.5862221717834473,2.6555384911616446,18340717
2000-02-21,2.6316356658935547,2.6483672141669463,2.5575386211308078,2.569489952788502,8925338
2000-02-22,2.595781087875366,2.665097623014261,2.5670984835799526,2.629244170115466,11592996
2000-02-23,2.6531474590301514,2.6531474590301514,2.569489725077047,2.6172939939800823,9405260
2000-02-24,2.5814411640167236,2.6507574692564235,2.569490095070074,2.629245439803322,11082867
2000-02-25,2.5981717109680176,2.6388053823866935,2.5694891038858505,2.5886107541497188,9944867
2000-02-28,2.5838308334350586,2.6196842975559322,2.564709179043969,2.6053428592330254,9537525
2000-02-29,2.605342388153076,2.6531469105462966,2.5838303662447637,2.5957814309998843,7498301
2000-03-01,2.6005630493164062,2.6220750806527233,2.574270800681222,2.6172945999810024,9141201
2000-03-02,2.6411962509155273,2.648367102281761,2.60773341915526,2.614904007148688,14128833
2000-03-03,2.614903688430786,2.6890004576590654,2.6053427300230165,2.665098325012415,16796144
2000-03-06,2.605342388153076,2.657927125750154,2.605342388153076,2.657927125750154,12355814
2000-03-07,2.595781087875366,2.64119523329083,2.5862203953586973,2.610122521709425,10034784
2000-03-08,2.617295026779175,2.6411971706626103,2.581441810954021,2.583831919993206,9208349
2000-03-09,2.6364152431488037,2.6650978498858797,2.6053422655495475,2.6196837006044484,14804511
2000-03-10,2.6746599674224854,2.6746599674224854,2.6220752042995707,2.6627088968660444,59945035
2000-03-13,2.672269105911255,2.672269105911255,2.672269105911255,2.672269105911255,0
2000-03-14,2.698561429977417,2.698561429977417,2.6435863139085165,2.689000471520363,23476575
2000-03-15,2.720073938369751,2.736805223584772,2.6531477440183813,2.6603183324495077,33445529
2000-03-16,2.7654881477355957,2.7726587362799813,2.732025050031364,2.7439761187296146,16516306
2000-03-17,2.834805488586426,2.868268595423455,2.777439974456592,2.7989522727065648,24520456
2000-03-20,2.832414388656616,2.8658772204141685,2.8204630575047984,2.8204630575047984,20072443
2000-03-21,2.796560525894165,2.8371944704623404,2.7368049264613368,2.8109022279450415,11023983
2000-03-22,2.7678775787353516,2.8324139133319552,2.7415850760101463,2.796560189266139,12947772
2000-03-23,2.720073938369751,2.8013415729561943,2.7129030865658033,2.7726586924860466,10456218
2000-03-24,2.755927801132202,2.779829943851357,2.7009526621798394,2.7176842147578246,5547595
2000-03-27,2.7296342849731445,2.7559267903446782,2.700951671555465,2.727244176926999,6323555
2000-03-28,2.777440309524536,2.7941718649615304,2.71290419710773,2.7176846791430043,7847503
2000-03-29,2.7511470317840576,2.782220024762968,2.7272448915681924,2.7511470317840576,5076510
2000-03-30,2.715294122695923,2.7439767468115925,2.6937820887659494,2.724854821819222,8482743
2000-03-31,2.6842200756073,2.7129026884959675,2.6842200756073,2.691390662986271,25821725
2000-04-03,2.689000368118286,2.717682979013721,2.6603177572228507,2.684219889073586,7839585
2000-04-04,2.7176833152770996,2.7726584360341633,2.696171288600614,2.698561660105111,21091401
2000-04-05,2.672269105911255,2.748756251974323,2.6435864919808023,2.7224637461327448,12807044
2000-04-06,2.595781087875366,2.6770486861896248,2.593390980589375,2.6770486861896248,21512475
2000-04-07,2.648366689682007,2.6555372765583005,2.6101231207205,2.6268546656803617,11061083
2000-04-10,2.696171522140503,2.6985618938520517,2.6244648481319843,2.6555378367723765,8624985
2000-04-11,2.6555376052856445,2.698561658614856,2.653147497155265,2.653147497155265,8956274
2000-04-12,2.67944073677063,2.71529421567257,2.6483680026533696,2.6985626624177703,7841431
2000-04-13,2.743976354598999,2.7559274243245513,2.6698795642768665,2.674659781468809,11700748
2000-04-14,2.7009518146514893,2.7726584836810897,2.6698790915414365,2.7368050174798886,11107265
2000-04-17,2.660317897796631,2.6722689643535045,2.564709101968864,2.6053427809367897,27652226
2000-04-18,2.638805866241455,2.6913906116386452,2.598172187372137,2.6770494371543103,9282542
2000-04-19,2.6077327728271484,2.657927139713249,2.6077327728271484,2.6531469244842794,15705839
2000-04-20,2.6842200756073,2.6985615137380248,2.6053428243202688,2.6220743704530567,22860411
2000-04-21,2.6364152431488037,2.6364152431488037,2.6364152431488037,2.6364152431488037,0
2000-04-24,2.6364152431488037,2.6364152431488037,2.6364152431488037,2.6364152431488037,0
2000-04-25,2.7176833152770996,2.7248539030449956,2.6411961678435505,2.6603180863883362,11835006
2000-04-26,2.7368054389953613,2.7607078412684802,2.7033426025586795,2.746366399904609,8248167
2000-04-27,2.669879674911499,2.736805615473303,2.645977271097077,2.736805615473303,9681403
2000-04-28,2.741586208343506,2.748757061467488,2.672269892879388,2.689001444547231,24653673
2000-05-01,2.6364152431488037,2.6364152431488037,2.6364152431488037,2.6364152431488037,0
2000-05-02,2.8089091777801514,2.8089091777801514,2.734421555522086,2.7512410935126455,8099687
2000-05-03,2.6911697387695312,2.7992969335967612,2.6863640444809054,2.765657338338338,9926485
2000-05-04,2.7473490238189697,2.773928534075313,2.6990229319867716,2.7038553281718123,10449404
2000-05-05,2.6941895484924316,2.776343989118789,2.6941895484924316,2.742515627390841,7258987
2000-05-08,2.711103916168213,2.7207689728652853,2.6821082135816536,2.699022395611119,7733630
2000-05-09,2.665193557739258,2.665193557739258,2.665193557739258,2.665193557739258,0
2000-05-10,2.546794891357422,2.645863801491724,2.5322969046617754,2.6241169545721106,15409929
2000-05-11,2.6072022914886475,2.6072022914886475,2.4888030203996205,2.5129660608776403,11701615
2000-05-12,2.59028959274292,2.631367375038076,2.5467961437631823,2.5975389890272558,6698074
2000-05-15,2.5661239624023438,2.6047852404962817,2.537128270079467,2.595119920972797,11258936
2000-05-16,2.595120668411255,2.6289490302390117,2.583038882403353,2.6072021881715033,9471107
2000-05-17,2.500884532928467,2.602369888368134,2.4888030127267036,2.5975372270378965,15645770
2000-05-18,2.527463912963867,2.554043418650607,2.500884673524805,2.5129661944057746,14660202
2000-05-19,2.4791367053985596,2.529879229840561,2.428394180956558,2.525046570429767,12520528
2000-05-22,2.440476894378662,2.517798950413294,2.430811570812411,2.4767214583805712,8095259
2000-05-23,2.452559232711792,2.4815549468219404,2.4163146566360507,2.4743060848563476,8648401
2000-05-24,2.4501428604125977,2.4718897110152,2.4259795451609523,2.4283960098099957,8304255
