date,eu27_hicp_yoy_pct,deposit_facility_rate_pct
2004-01-01,2.1,1
2004-02-01,2,1
2004-03-01,2,1
2004-04-01,2.3,1
2004-05-01,2.8,1
2004-06-01,2.7,1
2004-07-01,2.7,1
2004-08-01,2.7,1
2004-09-01,2.5,1
2004-10-01,2.7,1
2004-11-01,2.5,1
2004-12-01,2.6,1
2005-01-01,2.1,1
2005-02-01,2.3,1
2005-03-01,2.3,1
2005-04-01,2.3,1
2005-05-01,2.1,1
2005-06-01,2.2,1
2005-07-01,2.3,1
2005-08-01,2.3,1
2005-09-01,2.7,1
2005-10-01,2.6,1
2005-11-01,2.4,1
2005-12-01,2.4,1.25
2006-01-01,2.5,1.25
2006-02-01,2.5,1.25
2006-03-01,2.3,1.5
2006-04-01,2.5,1.5
2006-05-01,2.6,1.5
2006-06-01,2.6,1.75
2006-07-01,2.5,1.75
2006-08-01,2.4,2
2006-09-01,2,2
2006-10-01,1.7,2.25
2006-11-01,2,2.25
2006-12-01,2.1,2.5
2007-01-01,2,2.5
2007-02-01,2,2.5
2007-03-01,2.1,2.75
2007-04-01,2.1,2.75
2007-05-01,2.1,2.75
2007-06-01,2.1,3
2007-07-01,2,3
2007-08-01,2,3
2007-09-01,2.4,3
2007-10-01,2.9,3
2007-11-01,3.4,3
2007-12-01,3.4,3
2008-01-01,3.7,3
2008-02-01,3.7,3
2008-03-01,4,3
2008-04-01,3.7,3
2008-05-01,4.1,3
2008-06-01,4.4,3
2008-07-01,4.5,3.25
2008-08-01,4.2,3.25
2008-09-01,4,3.25
2008-10-01,3.6,3.25
2008-11-01,2.5,2.75
2008-12-01,2,2
2009-01-01,1.6,1
2009-02-01,1.6,1
2009-03-01,1.1,0.5
2009-04-01,1.1,0.25
2009-05-01,0.6,0.25
2009-06-01,0.4,0.25
2009-07-01,0,0.25
2009-08-01,0.4,0.25
2009-09-01,0.2,0.25
2009-10-01,0.3,0.25
2009-11-01,0.9,0.25
2009-12-01,1.3,0.25
2010-01-01,1.3,0.25
2010-02-01,1.2,0.25
2010-03-01,1.8,0.25
2010-04-01,1.8,0.25
2010-05-01,1.8,0.25
2010-06-01,1.6,0.25
2010-07-01,1.9,0.25
2010-08-01,1.8,0.25
2010-09-01,2.1,0.25
2010-10-01,2.2,0.25
2010-11-01,2.2,0.25
2010-12-01,2.5,0.25
2011-01-01,2.5,0.25
2011-02-01,2.6,0.25
2011-03-01,2.9,0.25
2011-04-01,3,0.5
2011-05-01,3,0.5
2011-06-01,2.9,0.5
2011-07-01,2.7,0.75
2011-08-01,2.7,0.75
2011-09-01,3,0.75
2011-10-01,3.1,0.75
2011-11-01,3.1,0.5
2011-12-01,2.8,0.25
2012-01-01,2.8,0.25
2012-02-01,2.8,0.25
2012-03-01,2.8,0.25
